Date : 2023-11-03 00:20:51
Directory : c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder
Total : 64 files,  8567 codes, 14 comments, 428 blanks, all 9009 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\create-form-btn.tsx                         | TypeScript JSX     |        112 |          0 |          8 |        120 |
| c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\designer-sidebar.tsx                        | TypeScript JSX     |         13 |          0 |          3 |         16 |
| c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\designer.tsx                                | TypeScript JSX     |        172 |          0 |         31 |        203 |
| c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\drag-overlay-wrapper.tsx                    | TypeScript JSX     |         44 |          0 |         10 |         54 |
| c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\element-properties-sidebar.tsx              | TypeScript JSX     |         25 |          0 |          6 |         31 |
| c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\fields\text-field.tsx                       | TypeScript JSX     |        195 |          0 |         23 |        218 |
| c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\form-builder.tsx                            | TypeScript JSX     |        112 |          0 |         13 |        125 |
| c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\form-elements-sidebar.tsx                   | TypeScript JSX     |         11 |          0 |          2 |         13 |
| c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\form-elements.tsx                           | TypeScript JSX     |         31 |          0 |          8 |         39 |
| c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\hooks\use-designer.tsx                      | TypeScript JSX     |         10 |          0 |          5 |         15 |
| c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\preview-dialog-btn.tsx                      | TypeScript JSX     |         39 |          0 |          5 |         44 |
| c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\provider\ThemeProvider.tsx                  | TypeScript JSX     |          7 |          0 |          3 |         10 |
| c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\publish-form-btn.tsx                        | TypeScript JSX     |         64 |          0 |          6 |         70 |
| c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\save-form.btn.tsx                           | TypeScript JSX     |         37 |          0 |          6 |         43 |
| c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\sidebar-btn-element.tsx                     | TypeScript JSX     |         38 |          0 |          7 |         45 |
| c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\ui\alert-dialog.tsx                         | TypeScript JSX     |        127 |          0 |         15 |        142 |
| c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\ui\badge.tsx                                | TypeScript JSX     |         31 |          0 |          6 |         37 |
| c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\ui\button.tsx                               | TypeScript JSX     |         51 |          0 |          6 |         57 |
| c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\ui\card.tsx                                 | TypeScript JSX     |         71 |          0 |          9 |         80 |
| c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\ui\dialog.tsx                               | TypeScript JSX     |        109 |          0 |         14 |        123 |
| c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\ui\form.tsx                                 | TypeScript JSX     |        152 |          0 |         25 |        177 |
| c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\ui\input.tsx                                | TypeScript JSX     |         21 |          0 |          5 |         26 |
| c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\ui\label.tsx                                | TypeScript JSX     |         21 |          0 |          6 |         27 |
| c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\ui\separator.tsx                            | TypeScript JSX     |         27 |          0 |          5 |         32 |
| c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\ui\skeleton.tsx                             | TypeScript JSX     |         13 |          0 |          3 |         16 |
| c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\ui\switch.tsx                               | TypeScript JSX     |         25 |          0 |          5 |         30 |
| c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\ui\tabs.tsx                                 | TypeScript JSX     |         48 |          0 |          8 |         56 |
| c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\ui\textarea.tsx                             | TypeScript JSX     |         20 |          0 |          5 |         25 |
| c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\ui\toast.tsx                                | TypeScript JSX     |        115 |          0 |         13 |        128 |
| c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\ui\toaster.tsx                              | TypeScript JSX     |         32 |          0 |          4 |         36 |
| c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\ui\use-toast.ts                             | TypeScript         |        159 |          3 |         31 |        193 |
| c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\lib\db.ts                                              | TypeScript         |          6 |          0 |          5 |         11 |
| c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\lib\idGenerator.ts                                     | TypeScript         |          3 |          0 |          0 |          3 |
| c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\lib\utils.ts                                           | TypeScript         |          5 |          0 |          2 |          7 |
| c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\middleware.ts                                          | TypeScript         |          5 |          3 |          3 |         11 |
| c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\next.config.js                                         | JavaScript         |          6 |          1 |          2 |          9 |
| c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\package-lock.json                                      | JSON               |      5,807 |          0 |          1 |      5,808 |
| c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\package.json                                           | JSON               |         50 |          0 |          1 |         51 |
| c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\postcss.config.js                                      | JavaScript         |          6 |          0 |          1 |          7 |
| c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\prisma\migrations\20231028090710_init_db\migration.sql | SQL                |         22 |          4 |          6 |         32 |
| c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\prisma\schema.prisma                                   | Prisma             |         30 |          0 |          7 |         37 |
| c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\public\graph-paper-dark.svg                            | XML                |          1 |          0 |          1 |          2 |
| c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\public\graph-paper.svg                                 | XML                |          1 |          0 |          1 |          2 |
| c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\schemas\form-schemas.ts                                | TypeScript         |          6 |          0 |          3 |          9 |
| c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\tailwind.config.js                                     | JavaScript         |         75 |          1 |          0 |         76 |
| c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\tailwind.config.ts                                     | TypeScript         |         19 |          0 |          2 |         21 |
| c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\tsconfig.json                                          | JSON with Comments |         25 |          2 |          1 |         28 |
| Total                                                                                                     |                    |      8,567 |         14 |        428 |      9,009 |
+-----------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
